epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,15989.8,1.66511,1.82261,1.50041,0.5849,0.50974,0.54134,0.28945,1.68073,1.80539,1.48117,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,16470.9,1.65951,1.80538,1.4893,0.59169,0.50814,0.5444,0.29134,1.67963,1.79917,1.47969,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,16947.2,1.65803,1.78195,1.48998,0.58719,0.5081,0.54581,0.29271,1.67707,1.79388,1.47775,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,17425.3,1.64932,1.77092,1.48262,0.57915,0.51606,0.54745,0.29352,1.67719,1.79026,1.4769,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,17906.9,1.64729,1.76761,1.48044,0.57969,0.51974,0.54951,0.29457,1.67817,1.78724,1.4754,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,18393.6,1.64008,1.74702,1.4715,0.58132,0.52184,0.55057,0.29536,1.67691,1.78533,1.47288,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,18876.1,1.63307,1.72517,1.46529,0.58344,0.52278,0.55238,0.29649,1.67524,1.78482,1.47047,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,19354.7,1.62381,1.72113,1.46488,0.5903,0.5188,0.55354,0.29732,1.67435,1.78215,1.4688,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,19833.5,1.61434,1.7046,1.45507,0.59309,0.51922,0.55449,0.29815,1.67321,1.77902,1.46791,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,20311.4,1.61654,1.63057,1.49017,0.59472,0.52128,0.55531,0.29872,1.67239,1.77471,1.46645,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,20790.8,1.60373,1.59868,1.48328,0.59615,0.52293,0.55634,0.29915,1.67138,1.77071,1.46508,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,21264.4,1.59125,1.57982,1.47045,0.59154,0.53031,0.55767,0.29997,1.67122,1.76659,1.46451,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,21737.4,1.57953,1.55809,1.46388,0.58866,0.5322,0.55856,0.3008,1.67104,1.76325,1.46389,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,22219,1.56807,1.5327,1.45859,0.59055,0.53119,0.55914,0.30178,1.66897,1.76003,1.46247,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,22694.6,1.55957,1.51657,1.44735,0.5911,0.53236,0.56038,0.30276,1.66899,1.75697,1.46152,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,23165.8,1.54684,1.49899,1.43988,0.59376,0.53195,0.56134,0.30362,1.66809,1.75501,1.4609,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,23639.8,1.54599,1.48903,1.44286,0.59319,0.53275,0.56246,0.30429,1.66744,1.75221,1.4601,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,24112,1.53597,1.47421,1.43482,0.59562,0.53206,0.56348,0.30513,1.66825,1.75008,1.4601,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,24585.6,1.52867,1.45129,1.42859,0.59439,0.53471,0.56493,0.30561,1.66805,1.74739,1.45998,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
