epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,396.735,1.6799,2.12499,1.63905,0.18976,0.22507,0.13444,0.06056,2.29571,2.94888,2.20593,0.000540037,0.000540037,0.000540037
43,406.156,1.74748,2.09449,1.64852,0.23506,0.24678,0.15629,0.05742,2.35325,2.94199,2.25908,0.000531038,0.000531038,0.000531038
44,415.574,1.69983,2.06627,1.62603,0.28473,0.20121,0.15538,0.0587,2.36205,2.92282,2.22289,0.000522039,0.000522039,0.000522039
45,424.955,1.66416,2.0527,1.60276,0.23926,0.22091,0.15358,0.05565,2.29098,2.91725,2.19224,0.00051304,0.00051304,0.00051304
46,434.345,1.5856,2.01534,1.56795,0.22497,0.2437,0.16702,0.06923,2.31259,2.8923,2.24022,0.00050404,0.00050404,0.00050404
47,443.751,1.68216,2.01201,1.60547,0.24074,0.26715,0.16788,0.06572,2.30405,2.86216,2.22807,0.000495041,0.000495041,0.000495041
48,453.124,1.62033,1.93361,1.54223,0.18588,0.28052,0.14255,0.0569,2.32195,2.93204,2.2258,0.000486042,0.000486042,0.000486042
49,462.546,1.57984,1.95972,1.54811,0.22386,0.23071,0.11469,0.04498,2.43347,3.00344,2.24358,0.000477043,0.000477043,0.000477043
50,472.382,1.61231,1.99081,1.58468,0.27605,0.22271,0.18135,0.0681,2.31972,2.95308,2.23302,0.000468044,0.000468044,0.000468044
51,481.801,1.57719,1.8957,1.59132,0.26051,0.23268,0.17554,0.06536,2.34019,2.78373,2.25248,0.000459045,0.000459045,0.000459045
52,492.768,1.57811,1.89234,1.53196,0.3106,0.27762,0.16811,0.05432,2.28948,2.88954,2.23227,0.000450046,0.000450046,0.000450046
53,502.206,1.50443,1.79722,1.50534,0.24919,0.23157,0.15609,0.05888,2.26694,2.92972,2.17575,0.000441047,0.000441047,0.000441047
54,512.142,1.58592,1.89297,1.55755,0.20292,0.26312,0.15736,0.06095,2.2698,2.99824,2.21798,0.000432048,0.000432048,0.000432048
55,522.096,1.54555,1.83121,1.53345,0.2465,0.25712,0.19482,0.07376,2.29105,2.99299,2.21135,0.000423049,0.000423049,0.000423049
